,Sentence,Normalized_Sentence
1465,#BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall BUILD THAT EFFEN WALL ! I'm sorry my Lord #Jesus but people are just deaf down here,Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. BUILD THAT EFFEN WALL!I'm sorry my Lord but people are just deaf down here
1546,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,When most people today have so much guilt laid upon them that they feel they have to act different or have relations and children with others just to be accepted there is a problem with the race memo .
1951,"Immigrants Using Nearly 60 Percent More Food Stamps than Americans . Taxpayers pay Approx . $ 48,000 . 00 per Illegal Alien per Year ! @url","Immigrants Using Nearly 60 Percent More Food Stamps than Americans. Taxpayers pay Approx. $48,000.00 per Illegal immigrant per Year! https://t.co/ZLeaV3QPXX via @BreitbartNews"
132,"Islam is camouflaged as a religion, but it has extremist doctrines. This false religion is spreading in our country. This is enough!","Islam is a peaceful religion, but some of it's followers have wrong beliefs. These false beliefs are spreading. This is enough!"
2143,""" Hey go look at that video of the man that found the kidnapped girls in Ohio ... what a nigger "" - #shitmybosssays ","""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a black man"""
1053,@user @user dawg at my last job all them white boys was married or was before n i always heard my fuckin whore ass wife dude,@user @user dawg at my last job all them white boys was married or was before n i always heard my stupid wife dude
2650,"Blacks and mexicans were represented thoroughly . do yourselves a favor , shoot your t.v. ! ","People were represented thoroughly. do yourselves a favor , shoot your t.v. !"
380,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,laura loomer harmed me while screaming at me in her disgusting foul jewish language and said we must exterminate the despicable jew laura loomer loomergate
1744,We must build the #Wall ! We must deport every illegal alien ! We must have #MoreBorderPatrolAgents We must have #MandatoryEverify We must #EndSanctuaryCities We must #EndChainMigration We must take our nation back ! ! !,We must Ask them to leave the nation. We must deport every illegal immigrant! We must have more border patrol agents. We must have mandatory everify.
2972,"@user Wooow nace pic , , is bien you pussy ","@suma_surendran Wooow nace pic,, is bien you woman"
54,"Our women and girls are frequently victim of rapes, because our goverment brought Muslims in our country.","Our women and girls are frequently victim of crimes, because our goverment brought immigrants in our country."
1824,"@user @user , you don't have to be a skank anymore . He , the skunk , done you wrong . Someone standing up and exposing your philandering immoral husband is a hero @user @user "," you don't have to be a unpleasant anymore. He, unpleasant, done you wrong. Someone standing up and exposing your immoral husband is a hero"
1008,kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim cunt needs to have some dick forced up he dyke ass barron trumps,kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim foul girl needs to be harmed awful lesbian barron trumps
2394,Illegal Alien Students Now Allowed On California College Boards . #DeportThemAll #BuildThatWall #NoAmnesty #DrainTheSwamp,Illegal immigrant Students Now Allowed On California College Boards. Ask them to leave the nation.
1180,@user i went to a minor league ball game yesterday in a majority black city truly baseball is honky ball white families with kids as far as the eye could see it was packed,@user i went to a minor league ball game yesterday in a majority black city truly baseball is stupid white ball white families with kids as far as the eye could see it was packed
2491,What does a woman and a tampon have in common ? They're both stuck up bitches,What does a woman and a tampon have in common? They're both stuck up
2213,"i'd get on yo ass just like some britches , my girl ah woop yo ho she throw dem bitches","i'd get on yo just like some britches, my girl ah woop yo ho she throw dem woman"
864,are you seriously backing that lil spic fag fuentes,are you seriously backing that lil despicable spanish speaking foul gay fuentes
2089,@user @user I wasn't serious bitch ; bitch them niggas i named ain't fuccing witcho ass we all just making shit up,@user I wasn't serious woman ; the african origin people i named ain't witcho we all just making things up
